image_name,hindwing_area_cm2,forewing_area_cm2
0A1987D1-2600-4347-A10C-9F9FA85F5D63_1_105_c.jpeg,2.0151730261494665,1.7660977483867488
0AC1C123-FA41-4C15-8E0F-B2551A24B2C7_1_105_c.jpeg,1.754010642205237,1.215001683885038
0C80DC54-D1F3-47F1-AD96-E3770E2AE16A_1_105_c.jpeg,1.9469029703951004,1.6844865239545572
19A38A95-507E-475F-BCBA-66E82C6764FB_1_105_c.jpeg,1.7111272012276757,1.3661342282726674
1A47599B-7973-4EA4-B4FA-667EB6C96698_1_105_c.jpeg,2.746025475352367,2.090574495440623
1EA076EE-4586-4EF7-B5EF-6DAF1350577D_1_105_c.jpeg,1.6740498106456565,1.124865904620734
2E32D4C8-26F3-4E3B-B34B-30E71C5DEB70_1_105_c.jpeg,2.260652108412748,1.6133036777451262
33D50523-81BF-46E3-B752-C62461E5C688_1_105_c.jpeg,2.0816794082321084,1.6798481582978049
3B2CB93D-4E11-4A03-9C16-D9FF88B407A6_1_105_c.jpeg,2.1800123132430813,1.8044042224681864
3D32BD18-C953-4617-B9DC-818A63B5E5F9_1_105_c.jpeg,2.4278272199036546,1.8072391679881
4E7C1556-77C7-49C1-BE47-F6CA1A11387C_1_105_c.jpeg,1.8945173002988624,1.362662799349958
5061AF63-4C1C-42CB-8AEB-04EC3785B20F_1_105_c.jpeg,1.9669225159770845,1.36868045412519
56971028-5072-4F25-90EB-35C29B9A2555_1_105_c.jpeg,2.224287250910191,1.8247331955209087
58468D2D-2D36-4309-BAAE-E77C729E9B65_1_105_c.jpeg,1.8908459627969496,1.657943175733828
66AFE522-00FD-4056-A0F0-1D3CD183EA07_1_105_c.jpeg,1.7090426116746371,1.5176124931096873
6A75EF05-30CB-4D08-99DA-514C632B7BDE_1_105_c.jpeg,2.0789255418931054,1.6711715319049798
6F3C5436-929C-471A-921B-E0540119D799_1_105_c.jpeg,2.269248303984666,1.8209022986890413
74D083DD-DBBA-4C0D-A5CB-8D7A5C173012_1_105_c.jpeg,1.75077541761775,1.3434925011253414
7CC6F43E-0F82-488B-93A5-626AF1BFB980_1_105_c.jpeg,1.5679899060596088,1.2841685870911956
80AC17E7-1C9D-4E09-84A7-293408A2520A_1_105_c.jpeg,2.076965460476177,1.6870467305940564
8BC3CEF6-CA23-431F-8BB9-6E61636EEA01_1_105_c.jpeg,1.953961844920456,1.2449221163759816
9829F61C-2ABB-4353-8B90-A80101DD4AC4_1_105_c.jpeg,2.3207711687921684,2.106510906829811
AA2F0C2C-5663-4782-BADB-836E810E823C_1_105_c.jpeg,2.130046231937624,1.903273859921189
B97D7ED4-6E26-450E-8F0D-542A481EA108_1_105_c.jpeg,2.1400691803849257,1.6785661844173545
BAAD116A-6FF0-4D79-8232-559A77EEA9E5_1_105_c.jpeg,2.116299741163998,1.4835390779272375
barbour pond 01.png,2.255182925601483,1.7266832953933298
barbour pond 02.png,2.3178686208863604,1.888567845051689
barbour pond 03.png,2.0751963069214,1.459725995101792
barbour pond 04.png,1.932311152725405,1.5594065767132417
barbour pond 05.png,2.184360606503803,1.811617423830022
barbour pond 06.png,2.374404407216488,1.9060569577404003
barbour pond 07.png,2.6253047773199243,2.008627975131392
barbour pond 08.png,2.250863271175649,1.5895466433397734
barbour pond 09.png,2.4266156038392666,1.888694787692613
barbour pond 10.png,1.9613080780913248,1.5220396532493217
BB779614-0E51-4E2B-AA67-A43A93ADC69E_1_105_c.jpeg,2.399309145018492,2.001636823966801
BD19F957-3660-43E8-98CA-74E772288A60_1_105_c.jpeg,1.7461454462269657,1.2344712411121568
branch brook park 01.png,2.1390965953018912,1.7094320422941145
branch brook park 02.png,2.406851605655038,1.858476943446012
branch brook park 03.png,2.357734349215197,1.9229067178282448
branch brook park 04.png,2.177921622247124,1.614296594108998
branch brook park 05.png,1.9781730491261065,1.355981351800846
branch brook park 06.png,2.122451516581597,1.9976441006534924
branch brook park 07.png,2.24169105808778,1.7753385553641226
branch brook park 08.png,2.374912382684044,1.9256632875322093
branch brook park 09.png,2.429743813114311,1.976518858384243
branch brook park 10.png,2.1621744893886228,1.7410434601679905
D2C43FFB-CFA5-40B8-B651-4979B5ADEC25_1_105_c.jpeg,2.623589943387825,1.8894141935900024
D4426030-E40A-44EF-8A8F-A741754177C2_1_105_c.jpeg,2.358871530954844,1.8412955451890456
D8FF208C-0365-4618-B578-3572371DA4AB_1_105_c.jpeg,1.6673478626525604,1.4791628163384256
EC3EA0B0-CFA6-4B00-8400-A283B89EA194_1_105_c.jpeg,1.8378468529192595,1.4294733763906464
EFECC631-169C-4800-8E54-8C0E830D789F_1_105_c.jpeg,1.720869034526539,1.7638480843018394
F29B2C4E-2F36-4081-98D3-C381E2DE755B_1_105_c.jpeg,2.494784608115063,1.9969100012702912
F5E9D40C-30E7-45E2-8DFC-84A137F56D08_1_105_c.jpeg,2.400300903341779,1.9260649123803
FA6B34C5-A299-4A66-9F97-2AD3DEFB0AA2_1_105_c.jpeg,2.222982508785749,1.960033238780172
FDF6D498-3D7E-491E-8FD4-1E720AEA5C6F_1_105_c.jpeg,2.006333758670316,1.4989562260363087
lake surprise 01.png,2.210877714487823,1.824242717007224
lake surprise 02.png,2.046508753951414,1.6638962508920792
lake surprise 03.png,2.0346925235682147,1.612667729607765
lake surprise 04.png,2.5368415634293675,1.930530794103413
lake surprise 05.png,2.0038379363577894,1.611410335411241
lake surprise 06.png,2.73528859213764,2.23830784760516
lake surprise 07.png,2.544886488827129,2.017018987182736
lake surprise 08.png,1.833787396922279,1.475346342561606
lake surprise 09.png,2.426565285797196,1.9604159285867209
lake surprise 10.png,1.842888650368348,1.4221507662722048
laurel hill park 01.png,2.238375247603337,1.85450088083803
laurel hill park 02.png,2.3564537677201143,1.861667365342346
laurel hill park 03.png,2.4935931660062614,2.002625391746647
laurel hill park 04.png,2.198613760575618,1.7255245810420503
laurel hill park 05.png,2.681156515153637,1.8986612423050075
laurel hill park 06.png,2.734575541738199,2.333961259259094
laurel hill park 07.png,2.783131579756987,2.257278979451455
laurel hill park 08.png,2.2289982823281336,1.7369643362519656
laurel hill park 09.png,2.215225539734301,1.8894976703860384
laurel hill park 10.png,2.249978591328928,1.8053332349094608
liberty state park 01.png,2.324646483529488,1.7436972624255072
liberty state park 02.png,2.3444713923291185,1.9974127537170416
liberty state park 03.png,2.2476005774206302,1.7222322183274137
mills pond 01.png,2.509342088059288,2.120284171987577
mills pond 02.png,2.3885704275323927,1.90571963986794
mills pond 03.png,2.40500146063245,1.835202853685002
mills pond 04.png,2.3194724047726942,1.77179258067061
mills pond 05.png,2.782945156058159,2.160056063718605
mills pond 06.png,2.3349750292553857,1.8892875154799484
mills pond 07.png,2.2830540373284784,1.7823773925825088
nomahegan park 01.png,2.289792132072381,1.7148154996315284
nomahegan park 02.png,2.280472697494689,1.852831408935242
nomahegan park 03.png,2.297413982191798,1.806859464031712
nomahegan park 04.png,2.4728812702873566,2.2497079019323167
nomahegan park 05.png,2.0531371964183456,1.8585768799712048
nomahegan park 06.png,2.191681864954886,1.8228745690155097
nomahegan park 07.png,2.307562068413036,1.894329691227923
nomahegan park 08.png,2.482935127070239,2.064796466268984
nomahegan park 09.png,2.3483268255985386,1.838984842180602
nomahegan park 10.png,2.289126064750437,1.909346897918712
6B388BE7-A825-4775-8756-B38E432C0156_1_105_c.jpeg,0.7060668468385088,0.977739767964352
7FE42C93-C07A-4EA9-8780-0741FF8996DE_1_105_c.jpeg,0.998494182558075,0.8972801039821885
304F7944-CFC4-45CE-8D6C-30E8E2162DAE_1_105_c.jpeg,2.0438773303994675,1.7380770451676721
6E85415E-8B66-4A87-BC53-63E4A5AEC689_1_105_c.jpeg,1.903158129917906,1.695105111257833
